,tx_hash,gas_used,victim_balance_delta,attacker_balance_delta,call_stack_depth,label
87,0xd7ca3d4bba4c2d7b2a2e55a8898d2bea3b5b62d37fa9c2abcd54a5a905717c5a,162546,-3000000000000000000,3000000000000000000,7.333240920432492,vul
88,0xe03015927170d879efc3694b56a89f9f708d20f09e88ba7c4be51560c38eac1c,213968,0,0,11.266366612111293,safe
89,0xb0d794e3f6b56be9b4a8c0ae7aca8d67244e2b1f7cd64cd7b2b672fda2e71dc8,342334,-44000000000000000000,44000000000000000000,7.333240920432492,vul
90,0x2b68037f9db72632bff4bea51ea5659ea3692c4097b3e77e19ab3999cd4881f8,170621,-4500000000000000000,4500000000000000000,4.226327944572748,safe
91,0x56e9aa74572b95f1b04cab473dd6da321b80086e795e4580cb5e33dcd172c0c2,396647,-18000000000000000000,18000000000000000000,3.734502923976608,vul
92,0x8099cdee85aebb4db946029e8691cfc1c5a2f88357c308f81c54bc082cbdca02,413537,-15000000000000000000,15000000000000000000,7.333240920432492,vul
93,0x1d5f6fa97aaedc369cc3958aa6a73e92300e994df914df9229b24f12178a47bb,213968,0,0,6.205486284289277,safe
94,0xdb1154f465ac3ef3c09a788b0424b4debb9ae6a3a7f83f3b5d3ddee816318ab9,382496,-52000000000000000000,52000000000000000000,7.333240920432492,vul
95,0xf6733c2d7b914c6a6c9c229f9ee012d946a616a803c337b267dae7c6322ce78b,213968,0,0,13.26457242582897,safe
96,0x1db205004aaa03114365b0a764497b8c2e4e36809c094a0776c82b40a9ab79d5,343733,-3000000000000000000,3000000000000000000,3.734502923976608,vul
97,0xe146e5b5678ed702f1767b46addd192d8381906103760f3d01161861eb3ac60c,170621,-4500000000000000000,4500000000000000000,6.223506743737958,safe
98,0x0615bccb50f346a884d18ad2fa697d671872fd1165bc1d5da9f5aae33555e640,483341,-27000000000000000000,27000000000000000000,3.293421052631579,vul
99,0x72e8591166cde6f430153f7c88cd38dd9f98f89e16b1be8f4a2de2e558e2d733,162546,-3000000000000000000,3000000000000000000,6.194048104362006,vul
100,0xb1f9325b138e19937dc91e0b6b4d8e854af5ca3f00a37e7eafa9db460e9016d1,333356,-10500000000000000000,10500000000000000000,3.734502923976608,vul
101,0xb4cc0c0eccc24afdf39a74638be935988d44e7edf8e4f11b34efa8f1ef38682e,170621,-4500000000000000000,4500000000000000000,3.255729794933655,safe
102,0x7886eba4566892bffd554c1f6f34cdeb7f22bedd52c7560d5866a75474953948,170621,-4500000000000000000,4500000000000000000,3.734502923976608,safe
103,0xc147866ed145627b93db59a34dfd801f0967d62245afcbc282970dcbb16f0ac3,170621,-4500000000000000000,4500000000000000000,3.734502923976608,safe
104,0xaf6df8c210c81bdb77953744b167a3b015f66b929f3328aa947cc24c5b5e45ed,262046,-7000000000000000000,7000000000000000000,7.272784019975031,vul
