from,to,value,gas,gas_used,input,tx_hash,fuzz_string
0x0b46AFF7de08f2AD090247cDD511083147fA8C49,0x5A29385759564Aa84af0cA73d555CA63F38AE530,0,3000000,225983,0x8f088f920000000000000000000000005a29385759564aa84af0ca73d555ca63f38ae530,0xb05f4aca80c15f05a8fba81fd64722e7ac0fa21d71e9f6975ea24545e9e74f0d,"safes.sol,safe,64"
0x7c8cAAbd1CcdC3dF32265789D7C017Ff5AF8F2Ea,0x0F547fd479a20C832A6D87e3f039Dd67b9F3b9a4,0,3000000,172953,0x8f088f920000000000000000000000000f547fd479a20c832a6d87e3f039dd67b9f3b9a4,0x2688350dd32ad8f1dd150baa762f6005fecb49d3498b4470149faf8deb9a544f,"safes.sol,safe,67"
0xc584344c01e894c2C815967eD5fCe7a8D91aD089,0xa138f2600dE606A244ed001fc9011f95E6288A46,0,3000000,371705,0x8f088f92000000000000000000000000a138f2600de606a244ed001fc9011f95e6288a46,0xf44f12209d2c4ac18c88d8f1fb6875fd5e69f55c573e5e0e6df16d5d21205917,"vulnerables.sol,vul,66"
0xBB6D90Ef3CD22B968cadA138E526489ECF712589,0x32D67FF42A0C50d621b1B2b23f29D1f2ccd7f66B,0,3000000,437345,0x8f088f9200000000000000000000000032d67ff42a0c50d621b1b2b23f29d1f2ccd7f66b,0xf806c3df511da8ee8fb6b7e0b77871597a90dfa307d24146dac8f89ecdddd58b,"vulnerables.sol,vul,69"
0xe29Bb4e15d292D6A88161C3618b2e3dBe8B866cF,0xD52b22F1a1eDb63651FCE9585385c0ef3e610f75,0,3000000,213968,0x8f088f92000000000000000000000000d52b22f1a1edb63651fce9585385c0ef3e610f75,0x1adb54b99c08ed3599b115fd80613e6934f011b071f55d404b5e1ba24869c93a,"safes.sol,safe,68"
0xA5f341302EAeF369c1e67694DeFc4DED9A885CcC,0x51Ad7eF4F3bFD6Efca4aC34348E2A84f538a920c,0,3000000,225983,0x8f088f9200000000000000000000000051ad7ef4f3bfd6efca4ac34348e2a84f538a920c,0x2a2797228732540c3a5a5de158d8422684ed1a250395e20dd94c2f2ab9f491f2,"safes.sol,safe,71"
0x37176689A9b9ced247823F0C8F33dff6ea04543a,0xd5e4C6F08a9915a5A4c517DA48bb1d327ce0fdb1,0,3000000,302196,0x8f088f92000000000000000000000000d5e4c6f08a9915a5a4c517da48bb1d327ce0fdb1,0x60a3b6ecda5f4e8af6a440ed286b433040519c89170f0fc897740ef5b73b0d2f,"vulnerables.sol,vul,70"
0x52d18aA9640b1698AE809a3F4D9A0451bf8012e1,0x08e313f7cbb76FA7EEaBfafB059f3A77e6bD1448,0,3000000,199205,0x8f088f9200000000000000000000000008e313f7cbb76fa7eeabfafb059f3a77e6bd1448,0x94ba24ed6c75bc73b94a607e60a87766e892f6013ee1b8c44cdb7e30997f204a,"safes.sol,safe,73"
0x4A1F0d13936E95C17c8A2EeBf45501699d4f82E0,0x696BD9157bb984AbA6D8CE1800180D6091127718,0,3000000,548957,0x8f088f92000000000000000000000000696bd9157bb984aba6d8ce1800180d6091127718,0xfc049783501c8cc2885e8bbf6db8b1bbd58708874fbdf4fcee133b4443ccf04a,"vulnerables.sol,vul,72"
0x3E364115c38c8AdB1640cc3993b5680732639c13,0x3cD034Bdc88F43a5f2dbdD5C43d2b064Faf76a29,0,3000000,144369,0x8f088f920000000000000000000000003cd034bdc88f43a5f2dbdd5c43d2b064faf76a29,0xf7d147111bc685900ede6255cbb6873fe7fabbda02374affc3549940cd279df6,"safes.sol,safe,75"
0x58D59039F67d487FEbaa3703570eaF17268FC39c,0xb77D98cA183305BEA804c4926Dd16006d4d8dc38,0,3000000,342346,0x8f088f92000000000000000000000000b77d98ca183305bea804c4926dd16006d4d8dc38,0xb9483d5eff94e639419712ebf66c2acc0dd42609bfd458de3b2040134dab9442,"vulnerables.sol,vul,74"
0x3C3f49e743add0B6333a63c90B1b6857c57Fe230,0x8E2d33CCE1C1A40166ea32A760858C5420Ed25c0,0,3000000,201295,0x8f088f920000000000000000000000008e2d33cce1c1a40166ea32a760858c5420ed25c0,0x84562b62affffd2282c71726a11a5a44b22b84bcfd1c99c7c797dd980246dadd,"safes.sol,safe,77"
0x3155B412b4c87F11A697a11686FffB91bA596C44,0x07E792bc44BB2eBC4FfeFafe180e6f15768Ab612,0,3000000,237796,0x8f088f9200000000000000000000000007e792bc44bb2ebc4ffefafe180e6f15768ab612,0x30ae92235693f042dabaaee356dc3180367cc86ad5fde400cb08cda7eedf3b0a,"vulnerables.sol,vul,76"
0x49298C0510C4F86F2d26be6480DecF03Cd66E58A,0x8071e80E8aB711f49A57493c82221fd2a72EfBd3,0,3000000,613787,0x8f088f920000000000000000000000008071e80e8ab711f49a57493c82221fd2a72efbd3,0xf150a0615fcdfe7c0939ab9248bbaf2d6699143170e9ebd9f84a0a68d05e927d,"vulnerables.sol,vul,79"
