from,to,value,gas,gas_used,input,tx_hash,fuzz_string,victim_balance_before_tx,victim_balance_after_tx,attacker_balance_before_tx,attacker_balance_after_tx
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0xBB15603ec934C7D16019DCACf1Bc5Fd634C4B988,0,3000000,342346,0x8f088f9200000000000000000000000039c83f6070249cb0d02129c0c251ed8380594fa2,0xfb9ed1eee1d94fd68043225ee21e95209ef35e0f55602551e78ce3da0c34b27b,"vulnerables.sol,vul,36",10000000000000000000,56000000000000000000,0,44000000000000000000
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0xF7e158F008564298A4D04073D515cF29754d7A81,0,3000000,225983,0x8f088f9200000000000000000000000082e395231505441860a05d06affdf3af83b5cb1f,0x9508e228df279d1d1fd000b03bf0bb9b5dadcb106a9078b0df50b0858aa69856,"safes.sol,safe,37",100000000000000000000,5500000000000000000,0,4500000000000000000
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0xA8A367D273014872D73f78dB4132d033f56fcabC,0,3000000,371717,0x8f088f92000000000000000000000000031a863e9487c63d9786358b273834814c7dd626,0x1660251acc1b6f979bd14bf2d7906e5db9774405fbfe4b07a7e0cfc36ab90eba,"vulnerables.sol,vul,38",10000000000000000000,86000000000000000000,0,14000000000000000000
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0xb1dF11E4B7F9ace030F426e8a8898d94CDFD765b,0,3000000,225983,0x8f088f9200000000000000000000000058ffbc75d27c3d9d2430e347b133e756f46c588b,0x11e72876a8a1c61f99f2760a2d17dd218063beaf54f51803de6431922d20a326,"safes.sol,safe,39",100000000000000000000,5500000000000000000,0,4500000000000000000
0xA3D57cDD628989F65468b102927a2595DE8F4AEA,0x01316C5847EEB28f6252Bcd78102458593105EDD,0,3000000,492191,0x8f088f92000000000000000000000000533bb1ce606d752133d7a5ac8bed2c4fb646939c,0xf8b393425b561e58f8df3dc711c3722fc5625854a8ace43455acedc50b75199a,"vulnerables.sol,vul,41",100000000000000000000,85000000000000000000,0,15000000000000000000
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0xb7f32e95c4125AB280Ff5F1f6309Ac70038A6167,0,3000000,273524,0x8f088f92000000000000000000000000631f7cf0a23ffcc359a7f13b08d60d2f46297b77,0x0d7e742d0ae660522e39a9db4e1c5e00779ff2e821920c8df0265f346b38df81,"vulnerables.sol,vul,40",10000000000000000000,98500000000000000000,0,1500000000000000000
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0x20D035D98A8D6e0CFabDe499CB63A25108DC3B2f,0,3000000,225983,0x8f088f92000000000000000000000000ce10cb998403df4076585c6c4d08fff8e81e0b17,0xcead3d92ec3fcd701b3c9fae635e3e3054d61ff8aa22dad1854f5b0c83b8769a,"safes.sol,safe,43",10000000000000000000,5500000000000000000,0,4500000000000000000
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0x0eEB97F1e52165E45531d2d0E69dBd465F921DD1,0,3000000,225983,0x8f088f920000000000000000000000005a05b1b5491cd6e14ad3c3331c7daec419992278,0x75c72ec8b743df58e49318f32942c6310a079195bdd5bf688244ce7524cc91b3,"safes.sol,safe,42",10000000000000000000,5500000000000000000,0,4500000000000000000
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0x7B503958cBaD6CC5818F713682F318bD91006237,0,3000000,172953,0x8f088f9200000000000000000000000046c13dfcd5f35c3858ae18b344f3f3a24768888b,0x15ccbb0d2caf379c68360c564729d787b1b9039662e2aef46f180911ad4682e0,"safes.sol,safe,45",10000000000000000000,10000000000000000000,0,0
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0x530fcC099927CCd926bb62681fEE87B1730F31e6,0,3000000,172953,0x8f088f92000000000000000000000000ce388bbb57a95db2e53e13cbfd1684afc78d3515,0xa01c570fb835ee497994ddcb63d3c3c78db4b01fe27009ea68e7089d414bfcbe,"safes.sol,safe,44",100000000000000000000,10000000000000000000,0,0
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0xf0C3b3e4632BBDAcCb1f21D8843732Dfd346B178,0,3000000,342346,0x8f088f920000000000000000000000000b5f0e91b814897a5febeb8f78bee53e55079583,0x07a68c7e538ae6434c8010ac383d6ce6b61e213bbe42ca4c5ac418bfb2f2dfa9,"vulnerables.sol,vul,47",100000000000000000000,78000000000000000000,0,22000000000000000000
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0xD4F6927e6C27255e3310179E80254379b767360A,0,3000000,656729,0x8f088f9200000000000000000000000002219f5cb8371a04349698a6eb9a76dae2201889,0x91300951b71fb7ec00d724461ee3e66093fd94de5e38295eec7f580e8acc7ad6,"vulnerables.sol,vul,46",10000000000000000000,55000000000000000000,0,45000000000000000000
0xA3D57cDD628989F65468b102927a2595DE8F4AEA,0x304b075AC2D9B37Ab3D8A85067c633f9B6ba76f2,0,3000000,172953,0x8f088f92000000000000000000000000a6b4f12ddbbc3af93781eb92a20e1933ad2b3de8,0x5372e72d8b2fac28e489bdd0d3285a2019854c77a88cfd63f8391ccc077e8f2f,"safes.sol,safe,49",100000000000000000000,10000000000000000000,0,0
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0x8Ce0F24545c408Bbc030DB253cAF9e0729EDfFcb,0,3000000,333356,0x8f088f9200000000000000000000000002b22bb1a0056f7f9328c8026facce683c7c8324,0x422eb0f9feb6909b3a8b895185251513d9e7f4e70b5616d9216448b9de63e17d,"vulnerables.sol,vul,48",100000000000000000000,89500000000000000000,0,10500000000000000000
0xA3D57cDD628989F65468b102927a2595DE8F4AEA,0x63dBe457dbd26edE60Fa43812e4610351B542d9b,0,3000000,548969,0x8f088f920000000000000000000000008d08871bd0ec5abe0db85d8b1162747863707942,0xb80b8a6548e5815f36f7db33f993c0404ca78e91fdd692b3a6e909d05a1f6282,"vulnerables.sol,vul,51",100000000000000000000,82000000000000000000,0,18000000000000000000
